City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,bardai,11.65,7.2333,74.05,85,98,4.88,NG,1720310400
344,adam,22.3756,57.5233,86.56,26,99,2.19,OM,1720310401
345,alice springs,-23.7,133.8833,54.95,94,100,0.0,AU,1720310111
346,katsuren-haebaru,26.3369,127.8719,88.18,77,40,9.22,JP,1720310403
347,morrope,-6.5417,-80.0111,68.11,84,99,15.9,PE,1720310405
348,issoire,45.55,3.25,52.86,94,95,1.79,FR,1720310406
349,jaciara,-15.9653,-54.9683,74.84,34,50,2.26,BR,1720310408
350,envira,-7.3,-70.2167,74.32,93,51,0.65,BR,1720310409
351,arar,30.9753,41.0381,86.02,20,0,9.22,SA,1720310410
352,pyhajarvi,67.0701,27.2176,50.74,85,27,10.42,FI,1720310411
353,ust'-kut,56.7938,105.7672,73.81,44,33,1.5,RU,1720310413
354,farasan,16.7022,42.1183,88.07,84,77,16.15,SA,1720310414
355,atar,20.5169,-13.0499,90.0,37,39,5.57,MR,1720310416
356,minas de marcona,-15.2119,-75.1103,53.1,86,41,11.27,PE,1720310417
357,gunjur,13.2019,-16.7339,80.67,89,75,4.61,GM,1720310419
358,mazatlan,23.2167,-106.4167,86.92,73,68,5.01,MX,1720310353
359,fort mcmurray,56.7268,-111.381,74.79,46,75,10.36,CA,1720310403
360,bhayavadar,21.85,70.25,82.67,78,100,15.01,IN,1720310422
361,mata-utu,-13.2816,-176.1745,81.9,77,49,14.38,WF,1720310423
